Episode,market_share_predict
Un souper presque parfait,15.2
Buzz capsules,13.1
NVL,13.3
Moment V,10.1
Moment V,10.1
Mordus de politique,18
24h en 60 minutes,9.1
Prog RDI sem,10.2
Nils Holgersson,11.2
Nils Holgersson,11.2
Bernard sports,10.2
Peanuts,11.2
Toc toc toc,6.4
Monsieur Bonhomme,1.4
Trullalleri,4.5
Arthur l'aventurier à la découverte des rocheuses,1.4
Ranger Rob,4.5
Ranger Rob,6.4
Jungle en délire,4.2
Super 4,1.7
Explique-moi ça,4.2
Chasseurs monstres,4.2
Noterythme,0.6
Géronimo Stilton,4.2
Bernard sports,4.2
Angry birds blues,4.2
Chirp,4.2
Kate et Mim-Mim,4.2
Yaya et Zouk,7.7
Jack et les camions,7.3
Clic et sa bande,7.3
En direct Ici... prog loc,3
RDI matin,4.2
Marina Orsini,5.8
Ricardo,5.2
Silence on joue!,5.2
Téléjournal midi,5.2
"Facture, La",9
Grantchester,6.4
Virginie,6.4
Temps d'une paix,6.4
Entrée principale,7.6
Silence on joue!,7.6
Téléjournal 18h,4.1
Téléjournal 18h30,4.1
District 31,4.1
L'Épicerie,6.2
Les enfants de la télé,16.6
Cheval-Serpent,3.6
Téléjournal 22h00,3.6
Téléjournal 22h30,17.9
Sports express,17.9
Entrée principale,5.9
Castle,6.2
Mordus de politique,18
DOUBLE CINÉ-LUNE,8.5
DOUBLE CINÉ-LUNE,11.5
TVA NOUVELLES (NUIT - LV),10.2
LA VICTOIRE DE L'AMOUR,8.1
LA VICTOIRE DE L'AMOUR,13.5
LE QUÉBEC MATIN,1.4
SALUT BONJOUR,2.5
DEUX FILLES LE MATIN,4.1
LE TRICHEUR,5.6
MARIO DUMONT,5.2
TVA NOUVELLES (12H - LV),5.2
PAUSE CINÉMA,6.4
INFOPUBLICITÉ,15.5
LES FEUX DE L' AMOUR,6.4
TOP MODÈLES,6.4
TVA NOUVELLES (17H),6.4
TVA NOUVELLES (18H - LV),4.1
LE TRICHEUR,7.6
LA POULE AUX OEUFS D'OR,7.6
LES BEAUX MALAISES,4.1
LÂCHÉS LOUSSES,16.6
VICTOR LESSARD,3.6
TVA NOUVELLES (22h),3.6
DENIS LÉVESQUE,17.1
DEUX FILLES LE MATIN,5.9
DOUBLE CINÉ-LUNE,6.2
Génial!,0.2
Deux hommes en or,0.4
Belle et Bum,1.1
Kebec,1
Cochon dingue,1
Chaplin,4.8
"Nouvelles aventures de Lucky Luke, Les",1
Marsupilami,1
"Petit Spirou, Le",0
"Chouette & Cie, La",0
Cochon dingue,1
Robin des Bois,1.2
Vic le viking,1
Grizzy et les lemmings,0.2
"As de la Jungle, Les",0.2
"As de la Jungle, Les",0.4
"Pat'Patrouille, La",0.3
Robocar Poli,1
Robocar Poli,1
Chuggington,1.2
Chuggington,0.2
"Tribu Monchhichi, La",1
Masha et Michka,0.2
Masha et Michka,0.2
Digby le dragon,1
"Famille Blaireau-Renard, La",1.2
Peg + Chat,1
Petit Ours Brun,0.2
Petit Ours Brun,0.2
"Little People, Grandes découvertes",1.1
"Légendes de Tatonka, Les",1.2
Yakari,1.3
"Argonautes, Les",0.2
Cochon dingue,2
Génial!,2
Kebec,2
Dans les médias,0.1
Point doc,1
"Frères Kratt, Les",0.3
Roi Julian! L'élu des lémurs,0.3
ALVINNN!!! et Les Chipmunks,0.3
ALVINNN!!! et Les Chipmunks,0.3
"Argonautes, Les",0.3
"Aventures du Chat Potté, Les",0.3
Salmigondis,0.3
"Pat'Patrouille, La",0.3
Cochon dingue,0.3
Génial!,0.3
Format familial,0.3
Point Doc,0.2
"Francs-tireurs, Les",1.1
M'entends-tu,0.1
Kebec,0.1
De garde 24/7,7.6
Génial!,1.1
"Heure est grave, mais la demi-heure est drôle, L'",1.1
Point Doc,0.1
Génial!,0.2
Sports 30 24h-6h,0.1
Tennis Omnium d'Australie nuit,1.4
Sports 30 6h-13h30,1.4
Tennis Omnium d'Australie,1.4
Sports 30 6h-13h30,1.8
Hockey LNH Sénateurs - R,0.9
Hors-Jeu 2.0 R,0.7
Hockey Le Magazine - R,1.8
Destination Ski,1.8
Le 5 à 7,0.5
Hockey 360 avant-match,2.6
Hockey LNH Canadiens,1.4
L'Antichambre après-match,1.1
Sports 30 18h-24h,1.6
Hockey Canadiens Express,0.8
L'Antichambre - R,3.3
Hockey Le Magazine - R,3.3
Buzz,2.7
Buzz,2.7
Coup de foudre,2.7
Coup de foudre,2.7
Coup de foudre,2.7
Coup de foudre,2.7
Coup de foudre,2.7
Coup de foudre,2
Coup de foudre,0.8
Coup de foudre,0.8
Buzz,0.8
Buzz,0.8
Buzz,0.8
Buzz,0.8
Buzz,0.8
Buzz,0.8
Buzz,0.8
Buzz,0.7
Buzz,0.7
CinéPlus,0.9
Supergirl,1.8
Supergirl,0.8
Buzz,1.8
CinéPlus,0.9
Buzz,2.2
Buzz,2.2
Marvel: les agents du S.H.I.E.L.D.,2.1
CinéPlus,0.5
Buzz,0.8
Marvel: les agents du S.H.I.E.L.D.,0.7
L'incroyable famille Kardashian,3.4
ROTATION COMP2 5A-5A,1.4
ROTATION COMP3 2A-2A,0.1
SOIREE2 7P-3A,0.1
SOIREE3 7P-5A,1.4
ROTATION COMP1 5A-3A,0.1
MATIN 5AM-12P,0.5
ROTATION COMP1 5A-3A,0.1
ROTATION COMP2 5A-5A,0.1
APRES-MIDI 12P-7P,0.4
SOIREE2 7P-3A,0.1
SOIREE3 7P-5A,0.1
SOIREE1 7P-1A,0.1
Tennis Omnium Australie,0
Le 5 à 7,3.2
Hockey 360,3.2
Hockey LNH Sénateurs - R,0.9
Le 5 à 7,0.6
Hockey 360,0.5
Hockey LNH Sénateurs - R,0.9
L'Antichambre,0.5
Sports 30 6h-18h,1.2
Combats Ultimes TKO - R,3.4
Tennis Omnium Australie,2
Sports 30 18h-24h,2
Entre Deux MatCHs,2
Sports 30 18h-24h,2
Entre Deux MatCHs,2
Basketball NBA Raptors,2.9
30 Images/Seconde,7.3
Tennis Omnium Australie,2.3
TVA NOUVELLES (22h),7.2
LE QUÉBEC MATIN,7.2
MARIO DUMONT,11
TVA NOUVELLES (12h - LV),5.1
100% NOUVELLES,8.6
LA JOUTE,6.9
TVA NOUVELLES (17h),4.1
TVA NOUVELLES (18h - LV),4.1
TVA NOUVELLES (18h - LV),4.1
DENIS LÉVESQUE,4.7
LCN/MAINTENANT,6.6
LCN/MAINTENANT,6.6
DENIS LÉVESQUE,4.7
TVA NOUVELLES (22h),1.8
MARIO DUMONT,0.7
LA JOUTE,1.5
TVA NOUVELLES (22h),0.3
Section de recherches,9.2
Complément de programme,4.5
Questions pour un champion,1.9
Tout le monde veut prendre sa place,1.9
Cut,7.1
Plus belle la vie,6.9
TV5 le journal,5.4
Les Belges du bout du monde,5.4
Une saison au zoo,2.7
Télématin,3.2
Journal Belge,1.1
À bon entendeur,0.9
Reflets sud,4.7
Alice Nevers,3.1
Alice Nevers,1.5
64' Le monde en Français,3.9
Section de recherches,5.7
Des bateaux et des hommes,1.7
Journal Suisse,1.7
Des chiffres et des lettres,1.7
Cut,1.9
Plus belle la vie,1.9
Tout le monde veut prendre sa place,3.3
Questions pour un champion,4.4
Journal de France 2,5.6
Les flots,4.4
Envoyé spécial,8
Enfants prodiges,4.8
TV5 le journal,3.8
C à dire?!,4.7
Journal Afrique,7.5
C à vous,7.5
Section de recherches,15.8
Le Club Mel,12.7
On joue au docteur,15.9
Dévisagés,8.2
Mariage à l'aveugle,12.7
Quand l'amour rend aveugle,8.2
Les gratteux,15.9
Décore ta vie,15.9
J'ai raté mes rénos!,3.5
On a échangé nos mères : spécial célébrités,0.2
À la conquête d'une maison,2.4
La vie avec des quintuplées,1.3
Goldwater à l'écoute,1.3
Pas le choix de rénover!,1.5
Mariages sur mesure,2.5
"Ma maison, mon cauchemar",0.2
Mon cinéma,7.5
Décore ta vie,3.5
J'ai raté mes rénos!,1.8
Design V.I.P.,0.9
"Ma maison, mon cauchemar",1.5
On a échangé nos mères : spécial célébrités,0.9
Bye-Bye Maison!,3.6
C'est quoi ton plan?,3.6
Quand l'amour rend aveugle,1.9
Taxi vers l'au-delà,2.5
Les naufragés de l'amour,2.5
Vendre ou rénover?,2.5
Design V.I.P.,3.5
"À vos marques, prêts, rénovez!",2.5
Bye-Bye Maison!,3.5
C'est quoi ton plan?,3.5
Mon cinéma,7.1
Mission café,0.6
CROISIÈRES DE RÊVE,2.6
Benoit à la plage,2.1
Hôtels eXtrêmes,2.1
Les aventures de Monsieur Gluzicki,1.3
"99 envies d'Évasion - Vancouver, Las Vegas",0.4
Ultimate Airport Dubai (3),1.6
Hell's Kitchen (18),0.4
Structures insolites (2),1.6
Les routes mythiques (2),0
Soleil tout inclus (10),0
Vivre sous zéro (3),0
Vivre sous zéro (3),1.6
Un couple contre la nature,1.6
"Josh Gates, traqueur de mystères (2)",1.6
Toujours plus loin avec Anthony Bourdain (2),1.6
Le wine show,1.6
Coups de Food (4),2.4
Chiller au Québec avec Félipé,2.4
Direction la mer: de Old Orchard à Cape Cod,0.8
Direction la mer: de Old Orchard à Cape Cod,0.8
Avec ou sans cash,2.1
Hotel Impossible Top 10,0.2
Les aventures de Monsieur Gluzicki,0.9
Pawn Stars: prêteurs sur gages,3.8
Pawn Stars: prêteurs sur gages,3.8
G.O.L.F.: son histoire au Québec,0.7
Le lot du diable,1.5
Les montagnards,1.5
Les montagnards,2.1
Les montagnards,2.1
Les a$ de la brocante,2.1
Les a$ de la brocante,2.1
Les a$ de la brocante,2.1
Les a$ de la brocante,1.8
Pawn Stars: prêteurs sur gages,1.7
Pawn Stars: prêteurs sur gages,1.7
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,0.9
Pawn Stars: prêteurs sur gages,1.2
Pawn Stars: prêteurs sur gages,1.2
Pawn Stars: prêteurs sur gages,1.2
Pawn Stars: prêteurs sur gages,1.2
Prêt au combat,4.6
Prêt au combat,0.2
De l'acier et du feu,2.2
De l'acier et du feu,2.3
De l'acier et du feu,2.3
Les rois de la scrap,0.5
L’Amérique de Michel Barrette,0.6
Légendes de la route,2.9
Légendes de la route,2.9
La course aux trésors d'Historia,0.3
La course aux trésors d'Historia,0
CinéMAX,0.7
SQ,0
SQ,1.8
SQ,1.8
Un souper presque parfait,1.8
Un souper presque parfait,1.8
Un souper presque parfait,1.8
Un souper presque parfait,1.8
Un souper presque parfait,0.6
CinéMAX,4
X-Files: aux frontières du réel,1.3
La loi et l'ordre: crimes sexuels,2.6
Chicago Med,0.7
Chicago Med,0.7
Chicago Med,0.2
Chicago Med,0.2
Chicago Med,0.2
La loi et l'ordre: crimes sexuels,2.6
Bones,0.2
Le mentaliste,0.8
Lucifer,0.8
Colonie,0.2
Chicago Med,1.1
X-Files: aux frontières du réel,0.8
Lucifer,0.1
Colonie,0.7
Téléjournal 02h sem,0.1
Téléjournal 02h30 sm,0.1
Téléjournal nuit sem,0.1
Téléjournal nuit sem,0.1
Téléjournal 04h00 sem,0.1
Téléjournal 04h30 sem,0.1
RDI matin 05h00 sem,0.1
RDI matin 05h30 sem,0.1
RDI matin 06h00 sem,0
RDI matin 06h30 sem,0
RDI matin 07h00 sem,0.1
RDI matin 07h30 sem,0.1
RDI matin 08h00 sem,0.1
RDI matin 08h30 sem,0.1
RDI matin 09h00 sem,0.1
L'info 09h30 sem,0.8
L'info 10h00 sem,0.9
SP Forum économique de Davos,0.3
L'info 10h30 sem,1.8
L'info 11h00 sem,1.8
SP Changement au registre des armes,0.2
L'info 11h00 sem,0.7
Isabelle Richer,0.7
Téléjournal midi,1.8
Les ex 12h30,0.4
L'info 13h30 sem,0.7
L'info 14h00 sem,1.8
SP Feu dans un hôtel du Vieux-Québec,1.8
L'info 14h00 sem,0.7
L'info 14h30 sem,0.7
L'info 15h00 sem,0.7
L'info 15h30 sem,0.7
Mordus de politique,0.4
En direct avec Patrice Roy,2.6
"National, Le",0.4
RDI économie 18h30,0.4
24 heures en 60 min,2.2
Grands reportages,2.6
Téléjournal 21h sem,0.2
Téléjournal 21h30 sm,1.6
Mordus de politique,0.3
"National, Le",0.1
"National, Le",0.1
24 heures en 60 min,3.3
Téléjournal 01h sem,0.7
Téléjournal 01h30 sm,0.7
Code Black,15.8
NCIS,0.7
Solitaire,1
Bienvenue à Schitt's Creek,1
Bienvenue à Schitt's Creek,1
Les lettres orphelines,1
Heartland,0.4
Retour à Cedar Cove,0.3
NCIS,1.1
L'enquête,1.1
Bones,0.4
Hawaii 5-0,0.4
La loi & l'ordre : crimes sexuels,1
Castle,0.7
Hawaii 5-0,1
NCIS: Los Angeles,1
Demain nous appartient,0.3
Demain nous appartient,0.3
Code Black,1.8
Bull,0.2
Le fardeau de la preuve,0.2
Dre Mary: mort sur ordonnance,1.1
Solitaire,0.6
"Mélinda, entre deux mondes",7
Blue Bloods,7.6
Bull,15.8
Infiltration,0
Milot Land,4.2
Arrow,3.5
Menacés,0
Magasin général Varennes,0
Comment c'est fait,6.1
Les stupéfiants,0
Maripier!,0
Milot Land,0
Roast Battle: le grand duel,5.5
Science de la rue,0
BattleBots : Combats de robots,1.5
Opérations spéciales : la sélection,0
Après l'Apocalypse,0
Magasin général Varennes,0
Direct dans l'net,0
Ultime défi ninja,0
Science de la rue,0
Route en déroute,0
Américars : rapides et musclés,0
Les hors-la-loi du volant,0
Rapides et millionnaires,0
Magasin général Varennes,0
Les stupéfiants,0
Ultime défi ninja,0
Expédition extrême,0.1
Week-end de bois,0.2
Route en déroute,0.2
Fous de motoneige,0.6
Maripier!,0
Prêt sur gage de l'enfer (M),0.4
Prêt sur gage de l'enfer (M),0
Prêt sur gage de l'enfer (M),0.5
Prêt sur gage de l'enfer (M),0.5
South Park,0.1
Dark Net : le web obscur,0
Family Guy,1.5
American Dad!,4.2
Le Tom Et Jerry Show,4.2
Bugs et les Looney Tunes,4.2
Bugs et les Looney Tunes,2.8
Bunnicula,2.8
Bunnicula,2.6
Lego Nexo Knights,2.6
Ben 10,2.6
Ben 10,2.6
Cracké,2.6
Teen Titans Go!,2.6
Teen Titans Go!,2.6
Toon Marty,2.4
Cracké,3.9
Frankie et les ZhuZhu Pets,2.2
Cracké,3.9
Bugs et les Looney Tunes,3.9
Bugs et les Looney Tunes,3.9
Ben 10,3.9
Ben 10,3.9
"Pokémon, la série : Soleil et Lune - Ultra-Aventures",2.2
Les Fous Du Volant,2.2
Les Fous Du Volant,2.2
Teen Titans Go!,2.2
Teen Titans GO!,5.4
Mysticons,1.2
Chop Chop Ninja,2.3
Le Tom Et Jerry Show,2.3
Les 3 Amigonautes,0
Winston et Dudley Ding Dong,5.4
Frankie et les ZhuZhu Pets,0.4
Hotel Transylvania,0.4
Il pleut des hamburgers,0.8
Unikitty,5.4
Unikitty,5.4
Bunnicula,0.8
Bunnicula,2.6
Les Fous Du Volant,0.4
Les Fous Du Volant,0.8
Bugs et les Looney Tunes,0.8
Bugs et les Looney Tunes,2.6
Chop Chop Ninja,0.8
"Pokémon, la série : Soleil et Lune - Ultra-Aventures",0.4
Ben 10,2.6
Ben 10,0.9
Mysticons,0.4
LEGO Nexo Knights,0.9
Unikitty,5.4
Unikitty,5.4
Les Simpson,0.9
Teen Titans GO!,5.4
Teen Titans Go!,5.4
Bravest Warriors,0.3
Au pays des Têtes à claques,6.7
Faut pas rêver!,6.7
Les Simpson,6.7
Family Guy,2.7
American Dad!,2.7
Les Grandes Gueules s’animent!,1.4
Les Simpson,1.4
Robot Chicken,0.9
Robot Chicken,6.7
Family Guy,1.5
American Dad!,1.5
Les Grandes Gueules s’animent!,1.6
Robot Chicken,1.6
Robot Chicken,1.6
Les héros du feu,12.7
Contact animal,12.7
Phénomènes vus de l'espace,12.7
Les pires prisons du monde,7
Craindre son voisin,7
Vie de chantier,2.4
Les héros du feu,1.8
Projet impossible,1.3
Le convoi de l'extrême,3.3
Routiers de l'Outback,0.2
La guerre des enchères,2.5
La guerre des enchères,2.5
Douanes sous haute surveillance,3.5
Douanes sous haute surveillance,3.5
DOCTEUR JEFF,3.8
Amour fatal,3.5
Ces jours qui ont marqué l'Amérique,3.5
Remorqueurs du Saint-Laurent,4
La guerre des transports,1.6
Structures abandonnées,3.6
Les recrues,2.6
Les recrues,1.3
Alaska : La ruée vers l'or,1.3
À la poursuite du trésor inca,1.3
Vie de chantier,3.3
Humour en spectacle,1.7
Douanes sous haute surveillance,15.9
Douanes sous haute surveillance,15.9
Douanes sous haute surveillance (M),15.9
Douanes sous haute surveillance (M),15.9
L'appart du 5e (M),0
L'appart du 5e (M),0
L'appart du 5e (M),0
L'appart du 5e (M),0
Backstage : Les coulisses du succès,0
Le Studio,0
Switched (M),0
Switched (M),0
Awkward. (M),0
2 filles fauchées,0
The Big Bang Theory,0
Flashpoint,0
Les Frères Scott,0
The Gifted V.F.,0
Marvel's Cloak and Dagger V.F.,0
Gang de malades,0
#5règles,0
The Big Bang Theory,0
ALT (Actualité Légèrement Tordue),0
Code F. rencontre Code G.,0
2 filles fauchées,0.1
Med (M),0.2
Med (M),0.2
Marvel's Cloak and Dagger V.F.,0
ALT (Actualité Légèrement Tordue),0.2
Code F.,0.4
Flashpoint,0.1
Bouffe en cavale,4.2
Complément de programme canadien,4.2
Insectia,4.2
Complément de programme canadien,4.2
Fous des animaux,2.8
Canada plus grand que nature,2.8
Complément de programme canadien,2.6
Dans une galaxie près de chez vous,2.6
Watatatow,2.6
Complément de programme canadien,2.4
Émissions jeunesse AM 1,2.4
Dans une galaxie près de chez vous,0.9
Watatatow,2.2
Canada plus grand que nature,2.3
Complément de programme canadien,0
Hooké,0.4
Elles pêchent,0.4
Le goût du pays,0.4
Documentaire,0.1
Ouache!,0.4
Complément de programme canadien,2.6
Ouache!,0.4
Cochon dingue,0.8
Émissions jeunesse PM 1,0.6
Dans une galaxie près de chez vous,0.9
Watatatow,3.6
Cochon dingue,0.9
Mon nouveau monde,2
Les encanteurs,0.5
Complément de programme canadien,0.3
Web thérapie,0.1
Complément de programme canadien,0.7
Les Newbies,0.5
Complément de programme canadien,0.3
Le sens du punch,6.7
Mauvais karma,1.8
Complément de programme canadien,0.7
Mauvais karma,0.6
Complément de programme canadien,2.7
Tournée générale,0.8
Complément de programme canadien,2.7
Hôpital vétérinaire,0.8
Complément de programme canadien,1
St-Nickel,3.8
Complément de programme canadien,1.5
De par chez nous,3.2
Complément de programme canadien,1.5
Documentaire,3.8
Variétés,0.3
Notre cinéma,5.9
Intermède,0.8
3 fois par jour,0
Variétés,1.2
"Filles de Caleb, Les",0
Temps d'une paix,1.7
Temps d'une paix,1.7
Cormoran,1.2
5 degrés,1.9
100% local,0.7
Temps d'une paix,1.7
Temps d'une paix,1.7
Cormoran,1.5
Quelle famille,1.7
"Appel du cœur, L",2.3
Cormoran,1.5
Temps d'une paix,0.1
Temps d'une paix,0.1
Moi et l'autre,0.8
"Filles de Caleb, Les",1.5
"Filles de Caleb, Les",1.5
"Filles de Caleb, Les",1.5
"Filles de Caleb, Les",0.8
Lundi culture,1.9
V - Bonne nuit,9.1
NVL,14.6
Moment V,14.6
Moment V,14.6
NVL en bref,16
Moment V,14.7
NVL en bref,16
Moment V,14.7
NVL en bref,16
Infopublicité,14.7
Infopublicité,14.7
Marvel: les agents du S.H.I.E.L.D.,12.3
La guerre des clans,18
Ciné V,16.8
Ciné V,13.3
Les Simpson,3.6
Les Simpson,7.4
La guerre des clans,7.4
Un souper presque parfait,14
Un souper presque parfait,14
Rire et délire,7.4
Les détestables,7.4
Ciné V,11.9
Un souper presque parfait,9
Buzz capsules,13.1
NVL,10.4
Moment V,10.1
Moment V,10.1
Mordus de politique,7.4
24h en 60 minutes,10.4
Prog RDI sem,7.5
Nils Holgersson,11.2
Nils Holgersson,11.2
Bernard,8
Peanuts,11.2
Mia,11.9
Harry & Bip,11.9
"Chi, une vie de chat",11.9
"Chi, une vie de chat",11.9
"Chi, une vie de chat",11.9
Monsieur Bonhomme,1.4
Mouss & Boubidi,1.4
Trullalleri,4.5
Arthur l'aventurier à la découverte des rocheuses,1.4
Ranger Rob,4.5
Ranger Rob,4.5
Jungle en délire,5.1
Super 4,2.4
Explique-moi ça,5.1
Chasseurs monstres,5.7
Noterythme,2.1
Géronimo Stilton,5.7
Bernard,5.1
Angry birds,5.1
Chirp,5.1
Kate et Mim-Mim,5.1
Yaya et Zouk,7.7
Mike le chevalier,7.3
Clic et sa bande,7.3
En direct Ici... prog loc,3.4
RDI matin,3.2
Marina Orsini,9.3
Ricardo,1.5
Silence on joue!,1.5
Téléjournal midi,1.5
L'Épicerie,9.2
Grantchester,9.8
Virginie,9.8
Virginie,9.8
Temps d'une paix,9.8
Entrée principale,7.6
Silence on joue!,7.6
Téléjournal 18h,9.1
Téléjournal 18h30,9.1
District 31,9.1
Infoman,7.6
1res fois,16.6
Enquête,3.6
Téléjournal 22h00,3.6
Téléjournal 22h30,17.9
Sports express,17.9
Entrée principale,10.5
Castle,10.7
Mordus de politique,7.4
DOUBLE CINÉ-LUNE,8.5
DOUBLE CINÉ-LUNE,8.1
TVA NOUVELLES (NUIT - LV),8
LA VICTOIRE DE L'AMOUR,8.1
LA VICTOIRE DE L'AMOUR,5.7
LE QUÉBEC MATIN,1.4
SALUT BONJOUR,4.7
ÇA FINIT BIEN LA SEMAINE,1.5
LE TRICHEUR,1.8
MARIO DUMONT,3.6
TVA NOUVELLES (12H - LV),1.5
PAUSE CINÉMA,7.2
INFOPUBLICITÉ,15.5
LES FEUX DE L' AMOUR,9.8
TOP MODÈLES,9.1
TVA NOUVELLES (17H),9.1
TVA NOUVELLES (18H - LV),9.1
LE TRICHEUR,7.6
LOL:-),9.1
LA DÉRAPE,9.1
LE BON DOCTEUR,16.6
J.E.,3.6
TU NE M'AS PAS TUÉE,3.6
TVA NOUVELLES (22h),3.6
DENIS LÉVESQUE,17.9
DOUBLE CINÉ-LUNE,7.2
DOUBLE CINÉ-LUNE,8.5
Génial!,0.2
"Heure est grave, mais la demi-heure est drôle, L'",0
M'entends-tu,1
"Indice Mc$ween, L'",1
"Heure est grave, mais la demi-heure est drôle, L'",1
Chaplin,0
Chaplin,0
"Nouvelles aventures de Lucky Luke, Les",1
Marsupilami,1
"Petit Spirou, Le",0
"Chouette & Cie, La",0
Cochon dingue,1
Robin des Bois,0
Vic le viking,1
Grizzy et les lemmings,0.2
"As de la Jungle, Les",0.2
"As de la Jungle, Les",1
"Pat'Patrouille, La",1
Robocar Poli,1
Robocar Poli,1
Chuggington,0.2
Chuggington,0.2
"Tribu Monchhichi, La",1
Masha et Michka,0.2
Masha et Michka,0.2
Digby le dragon,1
"Famille Blaireau-Renard, La",0.2
Peg + Chat,1
Petit Ours Brun,0.2
Petit Ours Brun,0.2
"Little People, Grandes découvertes",1.3
"Légendes de Tatonka, Les",0.2
Yakari,1.3
"Argonautes, Les",1.3
Cochon dingue,2
Génial!,2
Format familial,2
Deux hommes en or,0.1
Point doc,1
"Frères Kratt, Les",0.8
Roi Julian! L'élu des lémurs,0.8
ALVINNN!!! et Les Chipmunks,0.8
ALVINNN!!! et Les Chipmunks,0.8
"Argonautes, Les",0.9
"Aventures du Chat Potté, Les",0.9
Salmigondis,0.9
"Pat'Patrouille, La",0.9
"Dernier passager, Le",0.9
Génial!,0.9
"Indice Mc$ween, L'",1.1
De garde 24/7,0.4
Dans les médias,0.2
House of Cards,0.6
Point doc,0.2
Génial!,2.5
"Heure est grave, mais la demi-heure est drôle, L'",1.1
Point Doc,0.2
Génial!,0.2
Sports 30 24h-6h,1.5
Tennis Omnium d'Australie nuit,1
Sports 30 6h-13h30,0.1
Hockey 360 - R,1.2
Hockey Canadiens Express - R,1.2
Tennis Omnium d'Australie,1
Sports 30 6h-13h30,0.5
Hockey Canadiens Express - R,1.2
Basketball de la NBA - R,1.6
30 Images/Seconde Daytime,0.5
Le 5 à 7,1.7
Hockey 360,2.3
Hors-Jeu 2.0 Prime,2.3
Tennis Omnium d'Australie,1
L'Antichambre,1
Sports 30 18h-24h,1.6
Hockey CH Avec pas d'Match,0.8
Trajectoires,0.7
Hors-Jeu 2.0 R,0.8
Destination Ski,0.8
Buzz,0.8
Buzz,0.8
Coup de foudre,4.7
Coup de foudre,5.5
Coup de foudre,5.5
Coup de foudre,5.5
Coup de foudre,5.5
Coup de foudre,0
Coup de foudre,1.2
Coup de foudre,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
Buzz,1.2
CinéPlus,1.6
Marvel: les agents du S.H.I.E.L.D.,0.5
Marvel: les agents du S.H.I.E.L.D.,1.6
Buzz,0.5
CinéPlus,1.6
